date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2021-10-21,619000,123400,141400,38393,73400,119400,126000,493000,107500,72400,1466.16
2021-10-22,628000,124000,136500,38914,66600,118900,129000,488000,107000,75800,1478.34
2021-10-25,622000,119600,139900,38862,64200,118900,127000,488000,108300,73700,1465.76
2021-10-26,627000,129800,161000,38758,64700,126800,128500,498000,110400,75200,1490.86
2021-10-27,639000,133600,168700,38497,65900,131000,129000,489500,114800,80100,1508.75
2021-10-28,621000,125700,160100,38236,64100,129300,123500,475000,105000,78700,1453.51
2021-10-29,627000,128500,182800,41731,64200,119800,123500,469500,103900,79800,1453.8
2021-11-01,648000,131500,183500,43452,65200,118800,127000,478000,109200,87900,1503.64
2021-11-02,643000,130400,183400,43035,67800,117600,126500,483500,106200,86400,1497.29
2021-11-03,657000,129800,190000,42148,66300,114400,125500,472000,105000,89000,1493.57
2021-11-04,595000,122600,167100,40270,66800,109800,124000,468000,103200,91200,1446.31
2021-11-05,624000,125000,165100,40218,66000,112800,123000,451000,110200,97900,1467.45
2021-11-08,629000,133700,183000,40844,66700,117500,125000,441500,114100,99200,1481.11
2021-11-09,627000,150700,189500,45852,69400,131100,131500,465500,114300,98500,1529.85
2021-11-10,605000,169300,181000,48617,68600,144600,131000,484500,114900,91400,1531.66
2021-11-11,786000,168700,180400,48721,72800,144300,135000,540000,121800,93000,1702.49
2021-11-12,715000,173900,188900,49295,67900,152000,132500,547000,120000,96900,1666.89
2021-11-15,660000,172800,190400,47469,68100,148700,131500,548000,123500,97200,1635.8
2021-11-16,705000,176100,206400,51851,68000,140100,135000,547000,138500,108700,1707.86
2021-11-17,725000,176400,206400,51590,64900,141300,132000,567000,141000,107900,1727.7
2021-11-18,760000,176700,226500,51642,66000,140000,134000,543000,140200,108600,1735.33
2021-11-19,750000,168500,237000,49399,64200,130600,126500,542000,135000,107500,1689.39
2021-11-22,748000,160000,236800,48564,61800,111000,124000,516000,131200,97000,1629.54
2021-11-23,708000,147500,198700,48721,60300,108800,123000,505000,127900,96400,1584.7
2021-11-24,710000,153600,201500,47730,59600,111200,122000,509000,131700,96300,1592.32
2021-11-25,700000,154700,186700,47208,59500,111900,123000,504000,129400,101100,1589.84
2021-11-26,695000,160800,192000,46687,58500,107000,120000,506000,133000,102400,1585.98
2021-11-29,689000,152600,203200,46165,57400,103300,120000,510000,133200,102800,1580.95
2021-11-30,681000,155200,197000,47156,55700,100600,117000,503000,131700,98600,1555.21
2021-12-01,701000,155700,184900,46687,56700,97600,118000,489000,127700,96700,1550.75
2021-12-02,690000,143000,168700,45330,57000,94100,118000,502000,115800,91500,1525.27
2021-12-03,728000,148200,179900,46895,62300,100500,121000,500000,122000,95200,1574.41
2021-12-06,712000,136600,161500,44913,59000,95000,118500,472500,119000,90200,1518.78
2021-12-07,717000,136600,156000,44026,58600,95200,120000,465000,118100,90100,1517.89
2021-12-08,732000,145700,170100,46008,58500,95400,119000,464500,122600,94600,1540.12
2021-12-09,737000,147000,177800,50703,59200,100400,121500,479000,131200,94700,1578.59
2021-12-10,727000,147500,171100,50338,58800,97400,121000,489500,124800,91000,1565.31
2021-12-13,714000,140000,156400,49451,57500,92500,119000,489500,123500,90200,1543.47
2021-12-14,697000,140200,158700,48147,56800,91000,119500,493000,119600,89000,1529.38
2021-12-15,673000,144500,157700,46791,56900,88500,118000,485000,119800,88900,1505.05
2021-12-16,680000,148000,163400,46426,57000,90300,119000,484000,124100,88600,1518.02
