date,A036570,A078340,A112040,A181710,A192080,A194480,A251270,A259960,A263750,A293490,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2018-10-12,418000,145200,12478,27751,69600,10000,121000,,41340,,911.3,13.42,1.49,,,,,,
2018-10-15,411500,139900,12099,27386,68500,10000,114000,,41100,,886.22,-25.08,-2.75,,,,,,
2018-10-16,421500,139000,12957,27438,70500,10100,114500,,41380,,897.27,11.05,1.25,,,,,,
2018-10-17,416000,142500,12629,27908,70800,10550,112000,,41680,,894.19,-3.08,-0.34,,,,,,
2018-10-18,416000,142500,12604,27490,72800,10500,114500,,41400,,898.18,3.99,0.45,,,,,,
2018-10-19,422000,147000,13008,26656,73500,10150,114000,,42600,,911.27,13.09,1.46,,,,,,
2018-10-22,426500,151000,13008,26499,72700,10350,114000,,43000,,919.47,8.2,0.9,,,,,,
2018-10-23,425000,147500,12402,25821,72500,10250,112500,,43520,,913.31,-6.16,-0.67,,,,,,
2018-10-24,421000,143000,12326,25378,69100,10050,109000,,43000,,895.75,-17.56,-1.92,,,,,,
2018-10-25,425500,140700,12174,25091,69800,9960,108500,,43560,,897.25,1.5,0.17,,,,,,
2018-10-26,409500,137000,11215,23735,67700,9690,100000,,41800,,852.94,-44.31,-4.94,,,,,,
2018-10-29,404000,128700,10053,22117,66400,9550,91800,,41520,,820.13,-32.81,-3.85,,,,,,
2018-10-30,420500,130200,10785,23317,64000,9270,106500,,41260,,860.66,40.53,4.94,,,,,,
2018-10-31,429500,128100,11922,23917,65200,9300,112000,,41120,,878.79,18.13,2.11,,,,,,
2018-11-01,431000,121900,11644,24621,65200,9250,109500,,40420,,868.49,-10.3,-1.17,,,,,,
2018-11-02,443500,132500,12326,25143,67200,9620,115000,,41300,,902.66,34.17,3.93,,,,,,
2018-11-05,452500,138400,11922,25091,66800,9690,117500,,40020,,908.75,6.09,0.67,,,,,,
2018-11-06,449000,138700,12225,25195,69000,9490,116000,,40320,,906.34,-2.41,-0.27,,,,,,
2018-11-07,450000,122300,11846,24334,67200,9540,114500,,39400,,887.06,-19.28,-2.13,,,,,,
2018-11-08,438000,125000,11366,25482,64700,9550,116000,,41000,,892.22,5.16,0.58,,,,,,
2018-11-09,440500,125700,11290,25743,63600,9590,118500,,41500,,902.13,9.91,1.11,,,,,,
2018-11-12,447500,126400,10331,26812,61400,9500,122500,,37240,,894.46,-7.67,-0.85,,,,,,
2018-11-13,447000,125800,10886,27595,61400,9330,123000,,36980,,894.08,-0.38,-0.04,,,,,,
2018-11-14,458000,121300,11290,27647,61000,9120,125000,,37340,,904.44,10.36,1.16,,,,,,
2018-11-15,473500,128400,11366,28377,61300,9170,125500,,37820,,921.68,17.24,1.91,,,,,,
2018-11-16,466000,128700,11947,28534,61200,9250,122500,,37680,,914.25,-7.43,-0.81,,,,,,
2018-11-19,467500,135700,12629,29003,60400,9570,123000,,37460,,922.57,8.32,0.91,,,,,,
2018-11-20,476000,132500,12932,28429,60200,9450,124000,,37640,,927.37,4.8,0.52,,,,,,
2018-11-21,475500,132500,12528,29890,61200,9390,119500,,36960,,917.21,-10.16,-1.1,,,,,,
2018-11-22,479000,131800,12957,29733,59700,9260,122000,,36620,,920.17,2.96,0.32,,,,,,
2018-11-23,474000,133600,12806,28638,59700,9170,123500,,36720,,919.36,-0.81,-0.09,,,,,,
2018-11-26,493000,134200,12856,28951,59700,9170,125000,,38860,,946.14,26.78,2.91,,,,,,
2018-11-27,485000,139700,13160,29473,62600,9080,126000,,39180,,952.02,5.88,0.62,,,,,,
2018-11-28,505000,140100,13968,29681,62400,9110,129000,,39400,,974.72,22.7,2.38,,,,,,
2018-11-29,508000,139100,13235,29577,61700,9110,132500,,39400,,980.43,5.71,0.59,,,,,,
2018-11-30,512000,141000,13109,30098,60900,9070,130500,,38400,,974.47,-5.96,-0.61,,,,,,
2018-12-03,494500,145000,13564,30307,62000,9050,127000,,38660,,962.22,-12.25,-1.26,,,,,,
2018-12-04,492500,141100,13412,30151,61100,9020,124500,,38800,,953.02,-9.2,-0.96,,,,,,
2018-12-05,498000,139400,13084,29681,60600,8850,125500,,37840,,950.66,-2.36,-0.25,,,,,,
2018-12-06,486500,138100,12452,28638,60000,9010,110500,,38000,,909.72,-40.94,-4.31,,,,,,
2018-12-07,488500,143000,12781,28690,59900,8980,112500,,37220,,914.95,5.23,0.57,,,,,,
2018-12-10,497500,141600,11543,28690,56900,8690,105500,,34400,,885.34,-29.61,-3.24,,,,,,
2018-12-11,497500,133500,11543,28951,56300,8420,103500,,34940,,879.09,-6.25,-0.71,,,,,,
2018-12-12,503000,135900,12427,29003,56600,8460,105500,,36400,,898.57,19.48,2.22,,,,,,
2018-12-13,509000,137700,12452,29890,58300,8490,109000,,37360,,916.59,18.02,2.01,,,,,,
2018-12-14,500000,123800,11518,29994,56700,8120,106000,,36260,,888.05,-28.54,-3.11,,,,,,
2018-12-17,480000,124000,11846,29838,57300,7840,107500,,35560,,876.77,-11.28,-1.27,,,,,,
2018-12-18,477000,121700,11871,29368,56400,7970,108500,,35780,,875.7,-1.07,-0.12,,,,,,
2018-12-19,482500,131000,11669,29733,60400,7920,110500,,37000,,897.69,21.99,2.51,,,,,,
2018-12-20,467500,129600,11594,29212,60200,7870,109000,,38000,,888.55,-9.14,-1.02,,,,,,
2018-12-21,480000,132300,12957,29577,61100,7900,114500,,40580,,927.17,38.62,4.35,,,,,,
2018-12-24,476500,132000,12957,29890,61000,8100,114000,,41600,,930.83,3.66,0.39,,,,,,
2018-12-26,473500,132500,12553,29055,60900,8020,110000,,40880,,916.33,-14.5,-1.56,,,,,,
2018-12-27,484000,130600,12427,29733,59300,8100,115000,,40360,,929.26,12.93,1.41,,,,,,
2018-12-28,466500,129000,13109,29890,59800,8200,111500,,41580,,919.07,-10.19,-1.1,,,,,,
2019-01-02,467000,125000,15458,29890,57100,8190,106000,,40660,,902.1,-16.97,-1.85,,,,,,
2019-01-03,454500,123100,15407,29942,56600,8190,104000,,40600,,887.44,-14.66,-1.63,,,,,,
2019-01-04,464000,125100,17756,29629,57600,8300,108500,,39800,,904.03,16.59,1.87,,,,,,
2019-01-07,472500,125300,18287,31246,57700,8560,110500,,41000,,921.18,17.15,1.9,,,,,,
2019-01-08,469000,121900,18716,30985,56300,8580,109000,,39920,,908.14,-13.04,-1.42,,,,,,
2019-01-09,474500,121700,18691,31663,56800,8690,112000,,42380,,930.03,21.89,2.41,,,,,,
2019-01-10,472000,115000,19499,31298,56500,8750,114000,,41220,,923.52,-6.51,-0.7,,,,,,
2019-01-11,489500,113900,19398,31716,55500,8790,115500,,40660,,932.58,9.06,0.98,,,,,,
2019-01-14,482500,108400,18843,31559,55000,8740,113000,,39060,,912.13,-20.45,-2.19,,,,,,
2019-01-15,475500,111800,19247,31194,54900,8610,112000,,38420,,905.07,-7.06,-0.77,,,,,,
2019-01-16,465500,111500,19171,31298,56500,8550,109500,,38040,,893.7,-11.37,-1.26,,,,,,
2019-01-17,480500,109600,19474,32342,55400,8500,109500,,36280,,892.63,-1.07,-0.12,,,,,,
2019-01-18,498000,113800,18666,31976,54200,8700,106000,,37440,,902.55,9.92,1.11,,,,,,
2019-01-21,498000,111500,18009,31037,53800,8610,103500,,37160,,891.54,-11.01,-1.22,,,,,,
2019-01-22,496000,111300,18312,31403,54100,8620,106000,,37720,,898.95,7.41,0.83,,,,,,
2019-01-23,484000,110700,18540,30933,54000,8610,107500,,37620,,892.89,-6.06,-0.67,,,,,,
2019-01-24,473500,109300,17883,30724,53500,8610,106500,,38300,,885.49,-7.4,-0.83,,,,,,
2019-01-25,467000,110700,18792,30933,54000,8650,110000,,40040,,901.08,15.59,1.76,,,,,,
2019-01-28,463500,112200,19398,30724,53600,8830,111500,,39640,,900.92,-0.16,-0.02,,,,,,
2019-01-29,465500,110100,19550,30933,56200,8840,110500,,39020,,896.92,-4.0,-0.44,,,,,,
2019-01-30,467500,110900,20055,30568,56400,9000,110000,,38860,,898.76,1.84,0.21,,,,,,
2019-01-31,468500,114600,19221,30777,55900,8950,107000,,38660,,893.62,-5.14,-0.57,,,,,,
2019-02-01,474000,112900,18893,35211,56300,9000,109500,,37800,,902.13,8.51,0.95,,,,,,
2019-02-07,462500,114800,18236,35576,57800,8960,109500,,39900,,907.65,5.52,0.61,,,,,,
2019-02-08,463500,122500,18565,35263,57500,9040,119000,,39660,,928.94,21.29,2.35,,,,,,
2019-02-11,452500,120200,17908,33489,57300,8930,119000,,40000,,918.8,-10.14,-1.09,,,,,,
2019-02-12,433500,118900,17479,32602,56500,8930,118000,,39400,,899.85,-18.95,-2.06,,,,,,
2019-02-13,433000,120800,18438,33593,56800,8860,123500,,40380,,919.66,19.81,2.2,,,,,,
2019-02-14,448000,122400,17681,37610,58000,8720,124000,,40580,,937.03,17.37,1.89,,,,,,
2019-02-15,445500,119800,17403,37662,59100,8720,119000,,37840,,910.64,-26.39,-2.82,,,,,,
2019-02-18,447000,122900,18211,38862,59300,8790,119500,,37620,,915.92,5.28,0.58,,,,,,
2019-02-19,446500,119800,20308,39279,59700,8800,117000,,37620,,912.14,-3.78,-0.41,,,,,,
2019-02-20,441500,122500,20611,39279,59700,8800,115000,,38100,,909.14,-3.0,-0.33,,,,,,
2019-02-21,444000,121400,20737,38497,59000,8810,118500,,37600,,914.09,4.95,0.54,,,,,,
2019-02-22,430500,122300,20964,39123,60400,9080,118500,,37600,,906.88,-7.21,-0.79,,,,,,
2019-02-25,432500,121900,21747,39436,62000,9110,121500,,37940,,918.53,11.65,1.28,,,,,,
2019-02-26,443000,121500,21368,40479,62300,8930,122000,,38840,,931.4,12.87,1.4,,,,,,
2019-02-27,449500,122400,25713,40166,62000,9090,122000,,37100,,935.37,3.97,0.43,,,,,,
2019-02-28,461000,121800,24702,38601,61300,8830,118000,,36020,,921.98,-13.39,-1.43,,,,,,
2019-03-04,448000,116500,24702,40688,63000,8930,115500,,33480,,895.35,-26.63,-2.89,,,,,,
2019-03-05,445000,117200,24248,40375,62800,8930,112000,,33940,,888.34,-7.01,-0.78,,,,,,
2019-03-06,449500,118000,24601,41783,65200,8950,113000,,33360,,892.98,4.64,0.52,,,,,,
2019-03-07,440000,111700,23768,42879,64200,8970,112500,,33860,,885.46,-7.52,-0.84,,,,,,
2019-03-08,430500,114500,24399,42200,61500,8930,113000,,34060,,884.43,-1.03,-0.12,,,,,,
2019-03-11,435000,109800,25460,44652,62500,8900,113500,,36460,,904.94,20.51,2.32,,,,,,
2019-03-12,441000,110600,25309,44496,62000,8900,114000,,36820,,910.09,5.15,0.57,,,,,,
2019-03-13,438500,102200,25965,44496,62100,9000,114000,,36900,,904.52,-5.57,-0.61,,,,,,
2019-03-14,437500,102800,25410,44444,60900,9000,115500,,35980,,899.51,-5.01,-0.55,,,,,,
2019-03-15,444500,103800,24753,44861,59600,8980,120000,,37060,,918.81,19.3,2.15,,,,,,
2019-03-18,448000,104700,25915,46687,60000,9160,120500,,36780,,924.79,5.98,0.65,,,,,,
2019-03-19,449000,102400,26016,44809,60000,9190,118500,,34600,,903.63,-21.16,-2.29,,,,,,
2019-03-20,454500,102400,25006,46061,61700,9080,117500,,34080,,901.86,-1.77,-0.2,,,,,,
2019-03-21,463000,103500,24298,44861,60500,9080,115500,,32440,,888.96,-12.9,-1.43,,,,,,
2019-03-22,478000,102500,24273,43400,59500,8910,115500,,32460,,893.84,4.88,0.55,,,,,,
2019-03-25,478500,100000,24096,43244,60000,8610,115000,,31560,,884.89,-8.95,-1.0,,,,,,
2019-03-26,481000,102900,24854,45017,60500,8570,121000,,31980,,905.61,20.72,2.34,,,,,,
2019-03-27,478500,103100,24702,45017,61000,8600,121000,,32140,,904.87,-0.74,-0.08,,,,,,
2019-03-28,498000,102800,25258,44391,60600,8420,124500,,34460,,936.56,31.69,3.5,,,,,,
2019-03-29,496000,104400,25662,46165,61400,8410,125000,,33600,,934.48,-2.08,-0.22,,,,,,
2019-04-01,490500,104700,24955,44548,62400,8650,123500,,33440,,926.16,-8.32,-0.89,,,,,,
2019-04-02,491500,106000,23818,45904,62400,8600,120500,,34140,,926.14,-0.02,0.0,,,,,,
2019-04-03,498500,106400,24702,47469,63000,8720,125500,,35880,,955.51,29.37,3.17,,,,,,
2019-04-04,498500,104700,26824,46947,61600,8790,124500,,36240,,956.23,0.72,0.08,,,,,,
2019-04-05,503000,105900,26218,45800,61700,8960,124000,,36300,,956.9,0.67,0.07,,,,,,
2019-04-08,498500,104000,25561,44965,60800,8950,123500,,36340,,950.12,-6.78,-0.71,,,,,,
2019-04-09,496000,103500,24930,44913,60300,8940,123000,,36640,,948.26,-1.86,-0.2,,,,,,
2019-04-10,497500,103900,25233,46217,60900,8980,128000,,36260,,958.99,10.73,1.13,,,,,,
2019-04-11,505000,105900,25359,45539,62000,9060,130000,,36660,,970.89,11.9,1.24,,,,,,
2019-04-12,506000,105600,25410,46008,62300,9170,132000,,37380,,980.46,9.57,0.99,,,,,,
2019-04-15,495000,106500,25561,46321,61700,9130,134500,,37340,,979.99,-0.47,-0.05,,,,,,
2019-04-16,509000,106800,24829,43661,62400,9110,136000,,36720,,982.21,2.22,0.23,,,,,,
2019-04-17,500000,105400,24223,43557,62000,9350,135500,,37480,,979.65,-2.56,-0.26,,,,,,
2019-04-18,498500,104000,23793,43818,62000,9250,132500,,36360,,963.85,-15.8,-1.61,,,,,,
2019-04-19,491000,103600,23818,42774,64300,9440,133000,,36020,,958.7,-5.15,-0.53,,,,,,
2019-04-22,486000,104200,24273,41679,64600,9350,136000,,35060,,954.88,-3.82,-0.4,,,,,,
2019-04-23,499000,103100,23339,42566,64100,9260,130000,,34520,,945.15,-9.73,-1.02,,,,,,
2019-04-24,505000,100800,23389,42513,71600,9470,128000,,34300,,946.28,1.13,0.12,,,,,,
2019-04-25,510000,99000,23364,42513,73000,9290,125500,,33520,,938.01,-8.27,-0.87,,,,,,
2019-04-26,504000,98700,22707,42461,74400,9190,126000,,34000,,936.88,-1.13,-0.12,,,,,,
2019-04-29,511000,98600,24046,42931,73100,9170,127000,,33980,,944.52,7.64,0.82,,,,,,
2019-04-30,526000,99800,24248,43818,75500,9080,127500,,34860,,962.43,17.91,1.9,,,,,,
2019-05-02,522000,100900,23894,39488,74500,9080,126000,,34200,,948.26,-14.17,-1.47,,,,,,
2019-05-03,519000,100600,23894,40636,76000,9230,122500,,34000,,941.13,-7.13,-0.75,,,,,,
2019-05-07,501000,101300,22934,41575,77500,9270,122000,,33460,,927.79,-13.34,-1.42,,,,,,
2019-05-08,502000,99900,24349,42513,77300,9200,126500,,35100,,949.69,21.9,2.36,,,,,,
2019-05-09,490000,96400,23313,41783,75200,8960,123500,,33560,,921.21,-28.48,-3.0,,,,,,
2019-05-10,502000,100500,23642,41470,75800,8720,131000,,33940,,947.37,26.16,2.84,,,,,,
2019-05-13,511000,99800,24500,41053,73500,8620,129000,,35800,,960.82,13.45,1.42,,,,,,
2019-05-14,500000,98500,23768,39801,74600,8830,123000,,35620,,937.0,-23.82,-2.48,,,,,,
2019-05-15,498500,99600,24324,40844,74000,9230,118000,,36500,,934.65,-2.35,-0.25,,,,,,
2019-05-16,500000,101200,23162,42253,74000,9340,118000,,36460,,936.56,1.91,0.2,,,,,,
2019-05-17,493500,99700,22353,41731,73300,9450,117500,,36480,,930.36,-6.2,-0.66,,,,,,
2019-05-20,484500,97000,21116,40636,72700,9020,114500,,36120,,913.12,-17.24,-1.85,,,,,,
2019-05-21,485000,100000,21318,41209,70500,8910,114000,,38000,,925.75,12.63,1.38,,,,,,
2019-05-22,487000,98300,21368,40062,71500,9100,115500,,39080,,934.81,9.06,0.98,,,,,,
2019-05-23,491000,97400,20106,39123,70500,9230,112000,,38940,,923.12,-11.69,-1.25,,,,,,
2019-05-24,475000,96400,17580,38080,70000,9060,113500,,38900,,913.26,-9.86,-1.07,,,,,,
2019-05-27,480000,93000,17176,38288,68600,8880,112000,,38180,,904.77,-8.49,-0.93,,,,,,
2019-05-28,474500,96300,17504,38080,67900,8940,112500,,39880,,916.57,11.8,1.3,,,,,,
2019-05-29,480000,94500,17504,38393,67100,8690,109500,,39000,,906.32,-10.25,-1.12,,,,,,
2019-05-30,476500,96700,17403,38236,67900,8610,113000,,39280,,914.24,7.92,0.87,,,,,,
2019-05-31,477000,97700,17403,37767,67600,8630,114500,,39540,,919.34,5.1,0.56,,,,,,
2019-06-03,465000,98600,16999,38340,67000,8660,120000,,39780,,924.8,5.46,0.59,,,,,,
2019-06-04,457000,96900,16923,36828,65700,8530,123000,,39020,,917.16,-7.64,-0.83,,,,,,
2019-06-05,459500,99500,16898,38184,67900,8630,124000,,39220,,925.53,8.37,0.91,,,,,,
2019-06-07,459500,99900,17150,39018,66100,8760,119000,,40460,,924.89,-0.64,-0.07,,,,,,
2019-06-10,474000,99300,17226,40949,68400,8990,122500,,41800,,951.24,26.35,2.85,,,,,,
2019-06-11,469500,100000,17125,41470,68000,9010,121000,,41260,,943.99,-7.25,-0.76,,,,,,
2019-06-12,470000,99400,17706,41209,66200,9040,122000,,42300,,950.88,6.89,0.73,,,,,,
2019-06-13,470500,98600,17403,42670,66300,9010,121500,,44280,,963.73,12.85,1.35,,,,,,
2019-06-14,469500,98000,16999,41470,63100,8910,126500,,44840,,971.94,8.21,0.85,,,,,,
2019-06-17,468500,95700,16822,41366,63100,8610,126500,,45260,,971.99,0.05,0.01,,,,,,
2019-06-18,457000,101600,16948,43557,64000,8650,127000,,44800,,970.04,-1.95,-0.2,,,,,,
2019-06-19,466500,101100,17605,43400,64900,8730,125500,,44940,,974.21,4.17,0.43,,,,,,
2019-06-20,484500,104800,17479,42618,65800,8530,126000,,45180,,987.79,13.58,1.39,,,,,,
2019-06-21,485000,104700,17024,44026,65400,8800,126000,,44700,,985.09,-2.7,-0.27,,,,,,
2019-06-24,481500,101600,17681,43139,63300,8830,129500,,44340,,984.0,-1.09,-0.11,,,,,,
2019-06-25,474500,101200,17327,43244,62900,8750,122500,,42640,,954.89,-29.11,-2.96,,,,,,
2019-06-26,475500,101600,16999,41314,62700,8680,121500,,42320,,946.73,-8.16,-0.85,,,,,,
2019-06-27,481000,103100,16973,39644,60700,8460,122500,,42460,,952.02,5.29,0.56,,,,,,
2019-06-28,477000,101500,16670,40323,61900,8600,113000,,42460,,931.17,-20.85,-2.19,,,,,,
2019-07-01,468000,101600,16216,37714,61100,8520,100500,,40700,,887.94,-43.23,-4.64,,,,,,
2019-07-02,459000,99600,16165,37767,61400,8520,101500,,40940,,884.98,-2.96,-0.33,,,,,,
2019-07-03,468500,96700,15786,37297,61400,8240,100000,,39780,,877.28,-7.7,-0.87,,,,,,
2019-07-04,468500,96700,15559,36515,61400,8380,96600,,40080,,871.28,-6.0,-0.68,,,,,,
2019-07-05,480000,98100,16115,38340,61000,8600,96500,,39720,,879.99,8.71,1.0,,,,,,
2019-07-08,478000,96600,15711,36723,59400,8530,93600,,39720,,868.43,-11.56,-1.31,,,,,,
2019-07-09,484500,96000,15711,35680,59600,8350,98500,,39500,,878.56,10.13,1.17,,,,,,
2019-07-10,486500,95500,16241,35524,60300,8480,94100,,39800,,873.24,-5.32,-0.61,,,,,,
2019-07-11,490500,97000,16393,34428,60500,8720,96500,,38500,,872.9,-0.34,-0.04,,,,,,
2019-07-12,497500,96900,15357,34428,60700,8790,96400,,38260,,873.16,0.26,0.03,,,,,,
2019-07-15,497000,96200,14018,34480,60000,9150,93800,,37600,,860.46,-12.7,-1.45,,,,,,
2019-07-16,500000,96100,14119,34532,60000,9000,91700,,37140,,856.22,-4.24,-0.49,,,,,,
2019-07-17,493000,94400,13841,34272,59500,8760,89500,,37100,,845.66,-10.56,-1.23,,,,,,
2019-07-18,495500,93400,13993,33124,59300,8600,92100,,36880,,848.1,2.44,0.29,,,,,,
2019-07-19,502000,93000,14296,34480,59300,8780,92500,,36480,,851.61,3.51,0.41,,,,,,
2019-07-22,500000,93000,14145,33646,58800,8610,91000,,36020,,843.66,-7.95,-0.93,,,,,,
2019-07-23,498500,93300,14624,33437,58500,8550,90900,,35480,,838.94,-4.72,-0.56,,,,,,
2019-07-24,493000,92100,14069,33854,58300,8160,91600,,34700,,831.33,-7.61,-0.91,,,,,,
2019-07-25,490000,90500,13538,33072,58700,7900,91800,,34700,,827.66,-3.67,-0.44,,,,,,
2019-07-26,492000,91000,13589,33176,57800,8100,91600,,34320,,824.56,-3.1,-0.37,,,,,,
2019-07-29,485000,88000,12957,32446,56500,7800,90600,,33080,,805.13,-19.43,-2.36,,,,,,
2019-07-30,481500,88200,13109,31820,57000,7660,90600,,33660,,807.6,2.47,0.31,,,,,,
2019-07-31,481500,88300,13488,32550,55900,7700,90800,,34320,,812.84,5.24,0.65,,,,,,
2019-08-01,502000,88900,13362,32081,56300,7700,90100,,34440,,821.71,8.87,1.09,,,,,,
2019-08-02,520000,87500,13210,31924,56000,7290,90900,,34780,,833.12,11.41,1.39,,,,,,
2019-08-05,522000,81700,12023,30516,52600,6980,88300,,33200,,807.88,-25.24,-3.03,,,,,,
2019-08-06,508000,80900,11114,30620,52300,6980,88100,,32460,,793.13,-14.75,-1.83,,,,,,
2019-08-07,511000,84300,13008,31403,54100,6990,88600,,32140,,800.34,7.21,0.91,,,,,,
2019-08-08,520000,85100,13791,33072,56600,7260,89800,,34400,,827.94,27.6,3.45,,,,,,
2019-08-09,528000,86200,13614,33124,55800,7330,90000,,34560,,833.05,5.11,0.62,,,,,,
2019-08-12,524000,88800,13867,31820,54900,7340,90200,,35000,,835.04,1.99,0.24,,,,,,
2019-08-13,522000,86800,13210,30881,54800,7500,84600,,35120,,820.51,-14.53,-1.74,,,,,,
2019-08-14,523000,88500,13261,30672,54700,7410,90700,,35160,,834.08,13.57,1.65,,,,,,
2019-08-16,518000,88300,13185,29629,52700,7240,88400,,34000,,816.52,-17.56,-2.11,,,,,,
2019-08-19,528000,91000,13665,30672,54900,7300,89000,,34400,,830.07,13.55,1.66,,,,,,
2019-08-20,539000,90500,14145,31403,56200,7100,93500,,35040,,851.64,21.57,2.6,,,,,,
2019-08-21,536000,92100,14069,31142,55900,7120,93100,,35980,,855.93,4.29,0.5,,,,,,
2019-08-22,539000,91000,13816,31768,57400,7210,94800,,35500,,860.29,4.36,0.51,,,,,,
2019-08-23,531000,90500,14827,31820,56500,7190,94200,,36840,,863.41,3.12,0.36,,,,,,
2019-08-26,531000,87900,13841,31037,55200,6930,92600,,35000,,842.83,-20.58,-2.38,,,,,,
2019-08-27,531000,91000,14069,31194,54900,7120,92900,,35980,,853.2,10.37,1.23,,,,,,
2019-08-28,539000,92800,14271,31298,55400,7170,93700,,36520,,863.82,10.62,1.24,,,,,,
2019-08-29,534000,94000,14372,31298,55400,7220,94300,,37200,,867.81,3.99,0.46,,,,,,
2019-08-30,537000,94000,15433,31663,55400,6950,94200,,38940,,882.1,14.29,1.65,,,,,,
2019-09-02,550000,97000,15534,31768,55700,6860,95100,,38740,,891.55,9.45,1.07,,,,,,
2019-09-03,550000,93600,15205,31768,55400,6860,95200,,38820,,889.7,-1.85,-0.21,,,,,,
2019-09-04,551000,94400,15256,32289,55400,6940,97400,,39680,,902.5,12.8,1.44,,,,,,
2019-09-05,543000,94000,14877,31872,56700,7050,96900,,40000,,899.3,-3.2,-0.35,,,,,,
2019-09-06,552000,93200,14877,31246,55600,7110,94900,,39800,,894.49,-4.81,-0.53,,,,,,
2019-09-09,552000,93500,15685,31142,55200,7120,96400,,40080,,899.85,5.36,0.6,,,,,,
2019-09-10,551000,94500,15635,31872,57600,7230,95800,,39320,,897.07,-2.78,-0.31,,,,,,
